"Latin Name","Common Name","Status","Plant type","Location","Notes","Created"
"Achillea millefolium","Common yarrow","Planted","Herb",,,"6/7/2026 4:17 AM"
"Allium schoenoprasum","Chives","Planted","Bulb","[""Jardin de cuisine"",""Jardin d'hiver""]",,"6/7/2026 4:17 AM"
"Allium triquetrum","Three-cornered leek","Planted","Bulb","[""Jardin de cuisine"",""Jardin formale"",""La forest""]",,"6/7/2026 4:17 AM"
"Calendula officinalis","Calendula","Planted","Herb","[""Jardin d'hiver""]",,"6/7/2026 4:17 AM"
"Campanula poscharskyana","Serbian bellflower","Planted","Herb","[""Champs de tournoi"",""Jardin formale""]",,"6/7/2026 4:17 AM"
"Cistus populifolius","Poplar-leaved cistus","Planted","Herb",,,"6/7/2026 4:17 AM"
"Geranium molle","Dove's-foot crane's-bill","Planted","Creeper (horizontal)",,,"6/7/2026 4:17 AM"
"Laurus nobilis","Bay laurel","Planted","Bush","[""La remise"",""Jardin formale""]",,"6/7/2026 4:17 AM"
"Malus pumila","Apple","Planted","Tree","[""Jardin formale""]",,"6/7/2026 4:17 AM"
"Melissa officinalis","Lemon balm","Planted","Herb",,,"6/7/2026 4:17 AM"
"Mentha piperita","Peppermint","Planted","Herb","[""Jardin d'hiver""]",,"6/7/2026 4:17 AM"
"Plantago lanceolata","Plantain","Planted","Herb",,,"6/7/2026 4:17 AM"
"Primula acaulis","Primrose","Planted","Herb",,,"6/7/2026 4:17 AM"
"Prunus domestica","Plum","Planted","Tree",,,"6/7/2026 4:17 AM"
"Prunus spinosa","Sloe tree","Planted","Tree",,,"6/7/2026 4:17 AM"
"Pyrus pyrifolia","Asian pear","Planted","Tree","[""Champs de tournoi""]",,"6/7/2026 4:17 AM"
"Rheum rhabarbarum","Rhubarb","Planted","Rhyzome","[""Jardin formale""]",,"6/7/2026 4:17 AM"
"Rose canina","Dog rose","Planted","Bush",,,"6/7/2026 4:17 AM"
"Rosa spinosissima","Burnet rose","Planted","Bush",,,"6/7/2026 4:17 AM"
"Salix triandra","Almond willow","Planted","Bush",,,"6/7/2026 4:17 AM"
"Salvia rosmarinus","Rosemary","Planted","Bush","[""Jardin de cuisine"",""Jardin formale""]",,"6/7/2026 4:17 AM"
"Sambucus nigra","Black elderberry","Planted","Tree","[""La forest""]",,"6/7/2026 4:17 AM"
"Sonchus oleraceus","Sowthistle","Planted","Herb",,,"6/7/2026 4:17 AM"
"Stellaria media","Chickweed","Planted","Herb",,,"6/7/2026 4:17 AM"
"Taraxacum officinale","Dandelion","Planted","Creeper (horizontal)",,,"6/7/2026 4:17 AM"
"Thymus vulgaris","Thyme","Planted","Herb","[""Jardin de cuisine"",""Jardin d'hiver""]",,"6/7/2026 4:17 AM"
"Umbilicus rupestris","Navelword","Planted","Herb",,,"6/7/2026 4:17 AM"
"Urtica dioica","Stinging nettle","Planted","Herb",,,"6/7/2026 4:17 AM"
"Pseudosasa japonica","Arrow bamboo","Planted","Tree","[""La remise""]",,"6/20/2026 8:19 AM"
"Ligustrum ovalifolium","California privet","Planted","Tree",,,"6/20/2026 8:19 AM"
"Arnica montana","Mountain tobacco","Planted","Herb","[""Jardin d'hiver""]",,"6/20/2026 8:20 AM"
"Prunella vulgaris","Common selfheal","Planted","Herb",,,"6/20/2026 8:21 AM"
"Salvia officinalis","Common sage","Planted","Bush","[""Potager"",""Jardin d'hiver""]",,"6/20/2026 8:42 AM"
