latin_name
Achillea millefolium
Allium schoenoprasum
Allium triquetrum
Calendula officinalis
Campanula poscharskyana
Cistrus populifolius
Geranium molle
Laurus nobilis
Malus pumila
Melissa officinalis
Mentha x piperita
Plantago lanceolata
Primula acaulis
Prunus domestica
Prunus spinosa
Pyrus pyrifolia
Rheum rhabarbarum
Rose canina
Rose spinosissima
Salix triandra
Salvia rosmarinus
Sambucus nigra
Sonchus oleraceus
Stellaria media
Taraxacum officinale
Thymus vulgaris
Umbilicus rupestris
Urtica dioica
